City_ID,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
82,halwan,29.8414,31.3008,17.42,59,98,6.68,EG,1682140613
83,sisimiut,66.9395,-53.6735,-2.73,88,88,3.15,GL,1682140613
84,nahiyat ash shinafiyah,31.5874,44.6602,25.95,29,1,4.13,IQ,1682140613
85,mopti,14.6667,-4.0,27.66,14,12,3.48,ML,1682140613
86,aripuana,-9.1667,-60.6333,22.56,98,100,0.12,BR,1682140614
87,saudarkrokur,65.7461,-19.6394,-0.19,76,6,0.77,IS,1682140614
88,benjamin constant,-4.3831,-70.0311,23.07,100,100,0.82,BR,1682140614
89,puerto natales,-51.7236,-72.4875,2.8,87,100,2.15,CL,1682140615
90,hovd,48.0056,91.6419,1.92,22,74,2.97,MN,1682140615
91,can,40.0333,27.0524,11.35,85,99,1.14,TR,1682140615
92,zacharo,37.4833,21.65,14.49,64,17,1.88,GR,1682140615
93,el nido,11.1858,119.3956,30.54,66,50,4.12,PH,1682140616
94,nikolayevsk-on-amure,53.1406,140.73,0.53,95,100,4.26,RU,1682140616
95,zhalantun,48.0,122.7167,7.57,14,61,8.03,CN,1682140532
96,jincheng,35.5022,112.8328,3.31,97,100,0.58,CN,1682140616
97,bubaque,11.2833,-15.8333,26.89,61,97,8.83,GW,1682140617
98,artigas,-30.4,-56.4667,14.51,52,100,2.14,UY,1682140617
99,mugumu,-1.85,34.7,18.31,86,96,1.54,TZ,1682140617
100,papatowai,-46.5619,169.4708,16.46,78,95,4.21,NZ,1682140617
101,shiguai,40.7058,110.2856,12.75,21,20,3.85,CN,1682140618
102,ferkessedougou,9.6,-5.2,26.01,63,10,1.85,CI,1682140618
103,port alfred,-33.5906,26.891,15.1,83,100,5.17,ZA,1682140619
104,santana,-0.0583,-51.1817,26.1,100,40,2.06,BR,1682140619
105,luderitz,-26.6481,15.1594,12.53,76,69,1.15,NA,1682140619
106,codrington,-38.2667,141.9667,18.61,65,51,4.52,AU,1682140620
107,dauphin,51.1494,-100.0502,-3.92,68,0,3.09,CA,1682140620
108,williams lake,52.1415,-122.1445,5.76,62,75,4.63,CA,1682140620
109,okha,53.5739,142.9478,0.21,87,100,8.48,RU,1682140022
110,playa del ingles,27.7567,-15.5787,17.44,74,0,1.3,ES,1682140407
111,zhaqsy,51.9083,67.3133,8.73,55,98,5.23,KZ,1682140621
112,gisborne,-38.6533,178.0042,20.01,80,98,2.86,NZ,1682140103
113,utrik,11.2278,169.8474,26.97,76,21,7.59,MH,1682140622
114,whitehorse,60.7161,-135.0538,5.43,45,20,0.0,CA,1682140622
115,georgetown,5.4112,100.3354,28.96,84,20,4.63,MY,1682140500
116,port elizabeth,-33.918,25.5701,14.62,86,100,0.89,ZA,1682140365
117,umuarama,-23.7664,-53.325,11.99,89,0,2.91,BR,1682140515
118,mount gambier,-37.8333,140.7667,19.79,56,9,3.93,AU,1682140623
119,susuman,62.7833,148.1667,-1.19,74,98,4.46,RU,1682140623
120,ilulissat,69.2167,-51.1,-2.99,86,20,4.12,GL,1682140624
121,fortuna,40.5982,-124.1573,11.86,94,97,0.45,US,1682140624
122,las palmas,28.4204,-14.0131,17.44,82,0,2.57,ES,1682140624
123,atafu village,-8.5421,-172.5159,29.12,73,10,4.15,TK,1682140624
124,port mathurin,-19.6833,63.4167,26.23,76,80,8.81,MU,1682140625
125,punta arenas,-53.15,-70.9167,5.06,70,75,4.63,CL,1682140625
126,yarmouth,41.7057,-70.2286,8.9,88,20,4.12,US,1682140583
127,udachny,66.4167,112.4,-1.97,42,100,4.94,RU,1682140514
128,avarua,-21.2078,-159.775,24.03,83,40,3.09,CK,1682140485
129,san antonio de pale,-1.4014,5.6325,28.01,78,97,2.91,GQ,1682140626
130,hotan,37.0997,79.9269,15.03,30,100,1.28,CN,1682140627
131,jamestown,42.097,-79.2353,12.79,91,100,2.06,US,1682140608
132,vadso,70.0744,29.7487,-2.51,68,46,9.26,NO,1682140627
133,mermoz boabab,14.7065,-17.4758,19.31,82,89,7.78,SN,1682140627
134,celendin,-6.8703,-78.1517,10.45,90,97,0.26,PE,1682140628
135,roquetas de mar,36.7642,-2.6148,17.01,81,100,3.62,ES,1682140628
136,howard springs,-12.497,131.047,33.32,57,4,5.64,AU,1682140628
137,monahans,31.5943,-102.8926,14.38,11,8,3.95,US,1682140628
138,toktogul,41.8708,72.9402,13.45,48,37,0.29,KG,1682140616
139,tazovsky,67.4667,78.7,0.0,95,99,3.87,RU,1682140629
140,maues,-3.3836,-57.7186,23.58,97,98,0.7,BR,1682140629
141,taoudenni,22.6783,-3.9836,23.38,12,81,4.28,ML,1682140630
142,rudnichnyy,59.617,52.4703,7.15,62,37,1.94,RU,1682140630
143,aasiaat,68.7098,-52.8699,-8.18,90,52,3.3,GL,1682140630
144,dzuunharaa,48.8523,106.4579,4.84,20,100,3.04,MN,1682140631
145,birjand,32.8663,59.2211,26.26,10,0,2.06,IR,1682140631
146,aykhal,66.0,111.5,-4.62,76,100,4.84,RU,1682140501
147,huntsville,34.7304,-86.5861,13.79,93,75,2.68,US,1682140631
148,nadvoitsy,63.8667,34.3167,3.04,95,100,4.48,RU,1682140632
149,lazaro cardenas,17.9583,-102.2,25.14,74,29,2.24,MX,1682140632
150,chonchi,-42.6128,-73.8092,10.07,90,85,0.44,CL,1682140632
151,charters towers,-20.1,146.2667,29.45,34,83,6.68,AU,1682140632
152,badger,64.8,-147.5333,5.93,62,100,5.14,US,1682140633
153,tozeur,33.9197,8.1335,17.22,59,8,5.14,TN,1682140633
154,pathein,16.7833,94.7333,38.95,30,7,0.58,MM,1682140633
155,puerto santa,-8.9906,-78.6456,24.11,83,95,2.6,PE,1682140633
156,westport,41.1415,-73.3579,12.53,85,100,7.2,US,1682140559
157,kamyzyak,46.11,48.0736,15.01,62,0,7.0,RU,1682140450
158,antonio enes,-16.2325,39.9086,25.88,80,47,1.75,MZ,1682140491
159,launceston,-41.45,147.1667,21.3,68,40,8.75,AU,1682140416
160,port saint john's,-31.6229,29.5448,16.66,66,100,2.14,ZA,1682140634
161,kaa-khem,51.6833,94.7333,3.26,31,3,1.54,RU,1682140635
162,poronaysk,49.2167,143.1167,6.85,54,100,9.85,RU,1682140612
163,san patricio,28.017,-97.5169,22.69,68,42,4.03,US,1682140635
164,buritis,-15.6178,-46.4233,20.72,92,88,2.49,BR,1682140635
165,chita,52.0333,113.55,2.94,11,62,2.0,RU,1682140464
166,almazan,41.4865,-2.5309,11.49,88,100,1.9,ES,1682140636
167,karratha,-20.7377,116.8463,30.98,31,99,9.07,AU,1682140519
168,n'dalatando,-9.2978,14.9116,19.07,99,100,1.1,AO,1682140509
169,tezu,27.9167,96.1667,34.71,24,100,1.94,IN,1682140638
170,haldibari,26.3333,88.7667,33.9,31,23,3.3,IN,1682140378
171,viedma,-40.8135,-62.9967,12.25,76,52,3.81,AR,1682140539
172,raduzhny,62.0961,77.475,1.72,100,97,4.08,RU,1682140468
173,rethymno,35.3647,24.4714,15.79,78,100,1.02,GR,1682140638
174,dolinsk,47.35,142.8,5.07,61,100,5.8,RU,1682140639
175,daru,-9.0763,143.2092,27.03,84,100,5.11,PG,1682140639
176,salahonda,2.1019,-78.7217,26.65,78,100,2.09,CO,1682140639
177,bushehr,28.9684,50.8385,25.05,50,39,5.14,IR,1682140639
178,tolanaro,-25.0319,46.9987,23.65,70,76,0.99,MG,1682140640
179,shache,38.4167,77.2406,16.4,31,68,1.28,CN,1682140640
180,rudsar,37.1376,50.288,18.44,70,95,2.28,IR,1682140497
181,bredasdorp,-34.5322,20.0403,11.81,75,100,1.35,ZA,1682140616
182,visakhapatnam,17.69,83.2093,32.94,55,40,4.63,IN,1682140314
183,new norfolk,-42.7826,147.0587,21.72,58,100,4.92,AU,1682140641
184,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,70,75,5.0,RU,1682140641
185,la ronge,55.1001,-105.2842,-0.86,47,75,0.0,CA,1682140641
186,broome,42.2506,-75.833,17.21,73,0,3.6,US,1682140641
187,kalmunai,7.4167,81.8167,30.09,66,63,2.81,LK,1682140342
188,weno,7.4515,151.8468,32.97,75,40,1.54,FM,1682140642
189,behshahr,36.6923,53.5526,19.97,54,98,5.12,IR,1682140642
190,clydach,51.6833,-3.9,6.02,88,7,1.91,GB,1682140642
191,port lincoln,-34.7333,135.8667,20.9,55,0,3.22,AU,1682140642
192,arraial do cabo,-22.9661,-42.0278,20.83,81,0,2.16,BR,1682140643
193,ulladulla,-35.35,150.4667,24.32,62,0,3.08,AU,1682140370
194,tabatinga,-4.2525,-69.9381,23.05,100,40,0.0,BR,1682140606
195,jinan-gun,35.7917,127.4253,19.83,22,40,4.04,KR,1682140644
196,puerto ayacucho,5.6639,-67.6236,24.72,89,100,2.28,VE,1682140631
197,sao felix do xingu,-6.6447,-51.995,22.04,99,98,0.59,BR,1682140645
198,buka,40.8108,69.1986,21.13,24,4,1.63,UZ,1682140645
199,freetown,8.484,-13.2299,25.95,80,93,4.1,SL,1682140646
200,kidal,18.4411,1.4078,24.88,11,43,4.71,ML,1682140646
201,thompson,55.7435,-97.8558,-3.91,68,0,1.03,CA,1682140646
202,sergeyevka,53.88,67.4158,11.78,52,100,6.34,KZ,1682140647
203,pikeville,37.4793,-82.5188,19.16,99,0,2.06,US,1682140647
204,coronel dorrego,-38.7187,-61.2873,13.2,77,97,2.5,AR,1682140647
205,balqash,46.8481,74.995,11.33,25,0,2.0,KZ,1682140616
206,coahuayana de hidalgo,18.7,-103.6583,22.12,81,39,0.79,MX,1682140647
207,vila franca do campo,37.7167,-25.4333,16.23,91,99,5.71,PT,1682140648
208,kangding,30.0513,101.9603,16.41,71,67,2.66,CN,1682140537
209,usinsk,65.9939,57.5281,0.19,99,100,6.06,RU,1682140650
210,tual,-5.6667,132.75,28.42,77,100,5.12,ID,1682140650
211,nguigmi,14.2495,13.1092,28.07,23,17,4.82,NE,1682140650
212,revda,56.801,59.9303,8.13,76,100,2.3,RU,1682140650
213,nyala,12.05,24.8833,27.06,12,29,3.17,SD,1682140651
214,qaqortoq,60.7167,-46.0333,0.47,63,4,1.29,GL,1682140651
215,zhezqazghan,47.7833,67.7667,13.32,24,0,7.0,KZ,1682140651
216,crane,31.3974,-102.3501,18.58,11,3,3.44,US,1682140651
217,talnakh,69.4865,88.3972,-1.55,79,91,5.32,RU,1682140651
218,wailua homesteads,22.0669,-159.378,25.24,88,0,2.06,US,1682140652
219,colonia,50.9333,6.95,12.12,84,0,3.6,DE,1682140622
220,egilsstadir,65.2653,-14.3948,-2.05,74,100,5.66,IS,1682140652
221,grand-bassam,5.2118,-3.7388,28.98,88,99,3.17,CI,1682140653
222,fale old settlement,-9.3852,-171.2468,28.98,75,15,5.21,TK,1682140653
223,korkuteli,37.065,30.1957,9.7,64,100,0.74,TR,1682140460
224,kone,-21.0595,164.8658,27.11,78,78,2.66,NC,1682140654
225,sheridan,44.8333,-106.9173,-1.1,68,100,4.63,US,1682140654
226,walvis bay,-22.9575,14.5053,13.94,94,0,1.03,NA,1682140654
227,santo antonio do ica,-3.1022,-67.9397,22.23,100,99,0.84,BR,1682140654
228,dedougou,12.4667,-3.4667,28.41,19,57,1.11,BF,1682140550
229,mariakani,-3.8633,39.4736,23.05,92,100,4.07,KE,1682140655
230,hadibu,12.65,54.0333,28.81,63,77,3.27,YE,1682140655
231,trincomalee,8.5711,81.2335,30.67,63,22,0.86,LK,1682140655
232,marrakesh,31.6315,-8.0083,13.04,82,76,1.54,MA,1682140656
233,el porvenir,13.7617,-87.3458,25.63,90,52,0.52,HN,1682140656
234,manokwari,-0.8667,134.0833,27.6,77,100,1.56,ID,1682140656
235,zaozersk,69.4005,32.4476,-4.1,74,86,5.47,RU,1682140656
236,encruzilhada do sul,-30.5439,-52.5219,11.54,92,54,0.69,BR,1682140657
237,kapuskasing,49.4169,-82.4331,2.05,93,100,0.51,CA,1682140657
238,kismayo,-0.3582,42.5454,29.11,73,98,4.0,SO,1682140658
239,drohobych,49.3499,23.5056,6.06,76,77,1.16,UA,1682140658
240,paoua,7.2427,16.4406,23.65,71,100,1.83,CF,1682140658
